ubuntu@ip-172-31-12-177:~/hadoop_dir$ /home/ubuntu/hadoop/hadoop-2.7.2/bin/hdfs dfs -put /home/ubuntu/hadoop_dir/data_100G.txt /
ubuntu@ip-172-31-12-177:~/hadoop_dir$ ^C
ubuntu@ip-172-31-12-177:~/hadoop_dir$ /home/ubuntu/hadoop/hadoop-2.7.2/bin/hadoop jar /home/ubuntu/hadoop/hadoop.jar hadoop_sort /data_100G.txt /output_100G 32
16/03/30 06:58:29 INFO input.FileInputFormat: Total input paths to process : 1
16/03/30 06:58:29 INFO partition.InputSampler: Using 300 samples
16/03/30 06:58:29 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
16/03/30 06:58:29 INFO compress.CodecPool: Got brand-new compressor [.deflate]
16/03/30 06:58:30 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-91-37-241.compute-1.amazonaws.com/172.31.12.177:8032
16/03/30 06:58:30 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/30 06:58:30 INFO input.FileInputFormat: Total input paths to process : 1
16/03/30 06:58:31 INFO mapreduce.JobSubmitter: number of splits:800
16/03/30 06:58:31 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1459319236137_0001
16/03/30 06:58:31 INFO impl.YarnClientImpl: Submitted application application_1459319236137_0001
16/03/30 06:58:31 INFO mapreduce.Job: The url to track the job: http://ec2-52-91-37-241.compute-1.amazonaws.com:8088/proxy/application_1459319236137_0001/
16/03/30 06:58:31 INFO mapreduce.Job: Running job: job_1459319236137_0001
16/03/30 06:58:41 INFO mapreduce.Job: Job job_1459319236137_0001 running in uber mode : false
16/03/30 06:58:41 INFO mapreduce.Job:  map 0% reduce 0%
16/03/30 06:59:24 INFO mapreduce.Job:  map 1% reduce 0%
16/03/30 06:59:27 INFO mapreduce.Job:  map 2% reduce 0%
16/03/30 06:59:29 INFO mapreduce.Job:  map 3% reduce 0%
16/03/30 06:59:31 INFO mapreduce.Job:  map 4% reduce 0%
16/03/30 06:59:33 INFO mapreduce.Job:  map 5% reduce 0%
16/03/30 06:59:35 INFO mapreduce.Job:  map 6% reduce 0%
16/03/30 06:59:39 INFO mapreduce.Job:  map 7% reduce 0%
16/03/30 06:59:50 INFO mapreduce.Job:  map 8% reduce 0%
16/03/30 06:59:52 INFO mapreduce.Job:  map 9% reduce 0%
16/03/30 06:59:53 INFO mapreduce.Job:  map 10% reduce 0%
16/03/30 06:59:56 INFO mapreduce.Job:  map 11% reduce 0%
16/03/30 07:00:09 INFO mapreduce.Job:  map 12% reduce 0%
16/03/30 07:00:13 INFO mapreduce.Job:  map 13% reduce 0%
16/03/30 07:00:17 INFO mapreduce.Job:  map 14% reduce 0%
16/03/30 07:00:21 INFO mapreduce.Job:  map 15% reduce 0%
16/03/30 07:00:26 INFO mapreduce.Job:  map 16% reduce 0%
16/03/30 07:01:02 INFO mapreduce.Job:  map 17% reduce 0%
16/03/30 07:01:08 INFO mapreduce.Job:  map 18% reduce 0%
16/03/30 07:01:11 INFO mapreduce.Job:  map 19% reduce 0%
16/03/30 07:01:13 INFO mapreduce.Job:  map 20% reduce 0%
16/03/30 07:01:15 INFO mapreduce.Job:  map 21% reduce 0%
16/03/30 07:01:18 INFO mapreduce.Job:  map 22% reduce 0%
16/03/30 07:01:21 INFO mapreduce.Job:  map 23% reduce 0%
16/03/30 07:01:28 INFO mapreduce.Job:  map 24% reduce 0%
