16/03/25 23:05:12 INFO input.FileInputFormat: Total input paths to process : 1
16/03/25 23:05:15 INFO partition.InputSampler: Using 1000 samples
16/03/25 23:05:15 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
16/03/25 23:05:15 INFO compress.CodecPool: Got brand-new compressor [.deflate]
16/03/25 23:05:15 INFO client.RMProxy: Connecting to ResourceManager at /0.0.0.0:8032
16/03/25 23:05:16 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/25 23:05:16 INFO input.FileInputFormat: Total input paths to process : 1
16/03/25 23:05:16 INFO mapreduce.JobSubmitter: number of splits:80
16/03/25 23:05:17 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1458946964034_0001
16/03/25 23:05:17 INFO impl.YarnClientImpl: Submitted application application_1458946964034_0001
16/03/25 23:05:17 INFO mapreduce.Job: The url to track the job: http://ec2-52-91-37-241.compute-1.amazonaws.com:8088/proxy/application_1458946964034_0001/
16/03/25 23:05:17 INFO mapreduce.Job: Running job: job_1458946964034_0001
16/03/25 23:05:27 INFO mapreduce.Job: Job job_1458946964034_0001 running in uber mode : false
16/03/25 23:05:27 INFO mapreduce.Job:  map 0% reduce 0%
16/03/25 23:05:57 INFO mapreduce.Job:  map 1% reduce 0%
16/03/25 23:06:01 INFO mapreduce.Job:  map 2% reduce 0%
16/03/25 23:06:04 INFO mapreduce.Job:  map 3% reduce 0%
16/03/25 23:06:16 INFO mapreduce.Job:  map 4% reduce 0%
16/03/25 23:06:19 INFO mapreduce.Job:  map 5% reduce 0%
16/03/25 23:06:31 INFO mapreduce.Job:  map 6% reduce 0%
16/03/25 23:06:35 INFO mapreduce.Job:  map 7% reduce 0%
16/03/25 23:06:40 INFO mapreduce.Job:  map 8% reduce 0%
16/03/25 23:07:08 INFO mapreduce.Job:  map 9% reduce 0%
16/03/25 23:07:12 INFO mapreduce.Job:  map 10% reduce 0%
16/03/25 23:07:16 INFO mapreduce.Job:  map 11% reduce 0%
16/03/25 23:07:25 INFO mapreduce.Job:  map 12% reduce 0%
16/03/25 23:07:28 INFO mapreduce.Job:  map 13% reduce 0%
16/03/25 23:07:40 INFO mapreduce.Job:  map 14% reduce 0%
16/03/25 23:07:46 INFO mapreduce.Job:  map 15% reduce 0%
16/03/25 23:08:13 INFO mapreduce.Job:  map 16% reduce 0%
16/03/25 23:08:16 INFO mapreduce.Job:  map 17% reduce 0%
16/03/25 23:08:20 INFO mapreduce.Job:  map 18% reduce 0%
16/03/25 23:08:29 INFO mapreduce.Job:  map 19% reduce 0%
16/03/25 23:08:35 INFO mapreduce.Job:  map 20% reduce 0%
16/03/25 23:08:45 INFO mapreduce.Job:  map 21% reduce 0%
16/03/25 23:08:50 INFO mapreduce.Job:  map 22% reduce 0%
16/03/25 23:09:16 INFO mapreduce.Job:  map 23% reduce 0%
16/03/25 23:09:20 INFO mapreduce.Job:  map 23% reduce 1%
16/03/25 23:09:23 INFO mapreduce.Job:  map 24% reduce 1%
16/03/25 23:09:27 INFO mapreduce.Job:  map 24% reduce 2%
16/03/25 23:09:28 INFO mapreduce.Job:  map 25% reduce 2%
16/03/25 23:09:30 INFO mapreduce.Job:  map 25% reduce 3%
16/03/25 23:09:33 INFO mapreduce.Job:  map 25% reduce 4%
16/03/25 23:09:36 INFO mapreduce.Job:  map 25% reduce 5%
16/03/25 23:09:37 INFO mapreduce.Job:  map 26% reduce 5%
16/03/25 23:09:43 INFO mapreduce.Job:  map 26% reduce 6%
16/03/25 23:09:46 INFO mapreduce.Job:  map 26% reduce 7%
16/03/25 23:09:47 INFO mapreduce.Job:  map 27% reduce 7%
16/03/25 23:09:49 INFO mapreduce.Job:  map 27% reduce 8%
16/03/25 23:09:55 INFO mapreduce.Job:  map 28% reduce 8%
16/03/25 23:10:03 INFO mapreduce.Job:  map 29% reduce 8%
16/03/25 23:10:05 INFO mapreduce.Job:  map 29% reduce 9%
16/03/25 23:10:11 INFO mapreduce.Job:  map 29% reduce 10%
16/03/25 23:10:27 INFO mapreduce.Job:  map 30% reduce 10%
16/03/25 23:10:34 INFO mapreduce.Job:  map 31% reduce 10%
16/03/25 23:10:41 INFO mapreduce.Job:  map 32% reduce 10%
16/03/25 23:10:49 INFO mapreduce.Job:  map 33% reduce 10%
16/03/25 23:11:00 INFO mapreduce.Job:  map 34% reduce 10%
16/03/25 23:11:09 INFO mapreduce.Job:  map 35% reduce 10%
16/03/25 23:11:15 INFO mapreduce.Job:  map 35% reduce 11%
16/03/25 23:11:21 INFO mapreduce.Job:  map 35% reduce 12%
16/03/25 23:11:34 INFO mapreduce.Job:  map 36% reduce 12%
16/03/25 23:11:40 INFO mapreduce.Job:  map 37% reduce 12%
16/03/25 23:11:49 INFO mapreduce.Job:  map 38% reduce 12%
16/03/25 23:11:57 INFO mapreduce.Job:  map 39% reduce 12%
16/03/25 23:12:06 INFO mapreduce.Job:  map 40% reduce 12%
16/03/25 23:12:15 INFO mapreduce.Job:  map 41% reduce 12%
16/03/25 23:12:17 INFO mapreduce.Job:  map 41% reduce 13%
16/03/25 23:12:30 INFO mapreduce.Job:  map 41% reduce 14%
16/03/25 23:12:41 INFO mapreduce.Job:  map 42% reduce 14%
16/03/25 23:12:49 INFO mapreduce.Job:  map 43% reduce 14%
16/03/25 23:12:55 INFO mapreduce.Job:  map 44% reduce 14%
16/03/25 23:13:02 INFO mapreduce.Job:  map 45% reduce 14%
16/03/25 23:13:14 INFO mapreduce.Job:  map 46% reduce 14%
16/03/25 23:13:21 INFO mapreduce.Job:  map 47% reduce 14%
16/03/25 23:13:28 INFO mapreduce.Job:  map 47% reduce 15%
16/03/25 23:13:38 INFO mapreduce.Job:  map 47% reduce 16%
16/03/25 23:13:47 INFO mapreduce.Job:  map 48% reduce 16%
16/03/25 23:13:55 INFO mapreduce.Job:  map 49% reduce 16%
16/03/25 23:14:01 INFO mapreduce.Job:  map 50% reduce 16%
16/03/25 23:14:09 INFO mapreduce.Job:  map 51% reduce 16%
16/03/25 23:14:19 INFO mapreduce.Job:  map 52% reduce 16%
16/03/25 23:14:26 INFO mapreduce.Job:  map 53% reduce 16%
16/03/25 23:14:35 INFO mapreduce.Job:  map 53% reduce 17%
16/03/25 23:14:37 INFO mapreduce.Job:  map 54% reduce 17%
16/03/25 23:14:47 INFO mapreduce.Job:  map 54% reduce 18%
16/03/25 23:15:02 INFO mapreduce.Job:  map 55% reduce 18%
16/03/25 23:15:09 INFO mapreduce.Job:  map 56% reduce 18%
16/03/25 23:15:15 INFO mapreduce.Job:  map 57% reduce 18%
16/03/25 23:15:23 INFO mapreduce.Job:  map 58% reduce 18%
16/03/25 23:15:34 INFO mapreduce.Job:  map 59% reduce 18%
16/03/25 23:15:40 INFO mapreduce.Job:  map 59% reduce 19%
16/03/25 23:15:42 INFO mapreduce.Job:  map 60% reduce 19%
16/03/25 23:15:49 INFO mapreduce.Job:  map 60% reduce 20%
16/03/25 23:16:09 INFO mapreduce.Job:  map 61% reduce 20%
16/03/25 23:16:13 INFO mapreduce.Job:  map 62% reduce 20%
16/03/25 23:16:25 INFO mapreduce.Job:  map 63% reduce 20%
16/03/25 23:16:30 INFO mapreduce.Job:  map 64% reduce 20%
16/03/25 23:16:41 INFO mapreduce.Job:  map 65% reduce 20%
16/03/25 23:16:48 INFO mapreduce.Job:  map 66% reduce 20%
16/03/25 23:16:58 INFO mapreduce.Job:  map 66% reduce 21%
16/03/25 23:17:05 INFO mapreduce.Job:  map 66% reduce 22%
16/03/25 23:17:19 INFO mapreduce.Job:  map 67% reduce 22%
16/03/25 23:17:22 INFO mapreduce.Job:  map 68% reduce 22%
16/03/25 23:17:29 INFO mapreduce.Job:  map 69% reduce 22%
16/03/25 23:17:38 INFO mapreduce.Job:  map 70% reduce 22%
16/03/25 23:17:50 INFO mapreduce.Job:  map 71% reduce 22%
16/03/25 23:17:57 INFO mapreduce.Job:  map 72% reduce 22%
16/03/25 23:18:00 INFO mapreduce.Job:  map 73% reduce 22%
16/03/25 23:18:03 INFO mapreduce.Job:  map 73% reduce 23%
16/03/25 23:18:09 INFO mapreduce.Job:  map 73% reduce 24%
16/03/25 23:18:31 INFO mapreduce.Job:  map 74% reduce 24%
16/03/25 23:18:34 INFO mapreduce.Job:  map 75% reduce 24%
16/03/25 23:18:46 INFO mapreduce.Job:  map 76% reduce 24%
16/03/25 23:18:50 INFO mapreduce.Job:  map 77% reduce 24%
16/03/25 23:19:02 INFO mapreduce.Job:  map 78% reduce 24%
16/03/25 23:19:08 INFO mapreduce.Job:  map 79% reduce 24%
16/03/25 23:19:11 INFO mapreduce.Job:  map 79% reduce 25%
16/03/25 23:19:20 INFO mapreduce.Job:  map 79% reduce 26%
16/03/25 23:19:40 INFO mapreduce.Job:  map 80% reduce 26%
16/03/25 23:19:43 INFO mapreduce.Job:  map 81% reduce 26%
16/03/25 23:19:54 INFO mapreduce.Job:  map 82% reduce 26%
16/03/25 23:19:57 INFO mapreduce.Job:  map 83% reduce 26%
16/03/25 23:20:09 INFO mapreduce.Job:  map 84% reduce 26%
16/03/25 23:20:14 INFO mapreduce.Job:  map 85% reduce 26%
16/03/25 23:20:17 INFO mapreduce.Job:  map 85% reduce 27%
16/03/25 23:20:23 INFO mapreduce.Job:  map 85% reduce 28%
16/03/25 23:20:45 INFO mapreduce.Job:  map 86% reduce 28%
